Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
0401123;Obervieland (Stadtteil);2022-12-31;Insgesamt;14015;7081;5633;2825;6473;3272;1909;984;22203;11569
04011231;Habenhausen (Ortsteil);2022-12-31;unter 6;139;58;13;4;110;49;16;5;266;138
04011231;Habenhausen (Ortsteil);2022-12-31;6 - 15;178;90;13;5;143;77;22;8;451;207
04011231;Habenhausen (Ortsteil);2022-12-31;15 - 18;49;21;5;2;39;17;5;2;141;62
04011231;Habenhausen (Ortsteil);2022-12-31;18 - 25;46;24;14;8;29;13;3;3;371;176
04011231;Habenhausen (Ortsteil);2022-12-31;25 - 30;68;37;30;17;31;14;7;6;211;102
04011231;Habenhausen (Ortsteil);2022-12-31;30 - 50;357;199;133;71;173;102;51;26;1281;686
04011231;Habenhausen (Ortsteil);2022-12-31;50 - 65;186;102;61;38;104;54;21;10;1593;840
04011231;Habenhausen (Ortsteil);2022-12-31;65 oder mehr;168;95;57;34;65;39;46;22;2537;1377
04011231;Habenhausen (Ortsteil);2022-12-31;Insgesamt;1191;626;326;179;694;365;171;82;6851;3588
04011232;Arsten (Ortsteil);2022-12-31;unter 6;382;182;57;28;262;118;63;36;249;128
04011232;Arsten (Ortsteil);2022-12-31;6 - 15;578;273;93;39;391;191;94;43;398;190
04011232;Arsten (Ortsteil);2022-12-31;15 - 18;168;88;32;23;109;51;27;14;138;68
04011232;Arsten (Ortsteil);2022-12-31;18 - 25;198;83;75;33;109;47;14;3;465;228
04011232;Arsten (Ortsteil);2022-12-31;25 - 30;176;97;81;46;72;41;23;10;271;124
04011232;Arsten (Ortsteil);2022-12-31;30 - 50;1033;573;402;220;442;239;189;114;1352;698
04011232;Arsten (Ortsteil);2022-12-31;50 - 65;670;354;202;110;300;155;168;89;1623;834
04011232;Arsten (Ortsteil);2022-12-31;65 oder mehr;395;221;105;58;156;87;134;76;1860;1070
04011232;Arsten (Ortsteil);2022-12-31;Insgesamt;3600;1871;1047;557;1841;929;712;385;6356;3340
04011233;Kattenturm (Ortsteil);2022-12-31;unter 6;734;332;293;133;406;186;35;13;170;74
04011233;Kattenturm (Ortsteil);2022-12-31;6 - 15;1060;522;421;210;582;286;57;26;260;137
04011233;Kattenturm (Ortsteil);2022-12-31;15 - 18;304;148;87;40;198;104;19;4;89;48
04011233;Kattenturm (Ortsteil);2022-12-31;18 - 25;568;262;312;130;236;121;20;11;444;201
04011233;Kattenturm (Ortsteil);2022-12-31;25 - 30;510;229;332;147;152;70;26;12;315;157
04011233;Kattenturm (Ortsteil);2022-12-31;30 - 50;2111;1072;1290;662;637;320;184;90;1083;515
04011233;Kattenturm (Ortsteil);2022-12-31;50 - 65;1238;626;637;324;397;198;204;104;1439;725
04011233;Kattenturm (Ortsteil);2022-12-31;65 oder mehr;782;423;296;161;284;147;202;115;1827;1037
04011233;Kattenturm (Ortsteil);2022-12-31;Insgesamt;7307;3614;3668;1807;2892;1432;747;375;5627;2894
04011234;Kattenesch (Ortsteil);2022-12-31;unter 6;199;93;32;9;148;76;19;8;100;46
04011234;Kattenesch (Ortsteil);2022-12-31;6 - 15;324;153;59;27;218;106;47;20;181;85
04011234;Kattenesch (Ortsteil);2022-12-31;15 - 18;82;43;13;8;57;31;12;4;74;31
04011234;Kattenesch (Ortsteil);2022-12-31;18 - 25;120;72;41;23;71;45;8;4;231;101
04011234;Kattenesch (Ortsteil);2022-12-31;25 - 30;98;42;51;20;42;18;5;4;132;59
04011234;Kattenesch (Ortsteil);2022-12-31;30 - 50;584;308;238;114;256;144;90;50;666;334
04011234;Kattenesch (Ortsteil);2022-12-31;50 - 65;313;153;99;48;158;75;56;30;768;388
04011234;Kattenesch (Ortsteil);2022-12-31;65 oder mehr;197;106;59;33;96;51;42;22;1217;703
04011234;Kattenesch (Ortsteil);2022-12-31;Insgesamt;1917;970;592;282;1046;546;279;142;3369;1747
0401124;Huchting (Stadtteil);2022-12-31;unter 6;1945;943;916;455;910;432;119;56;486;223
0401124;Huchting (Stadtteil);2022-12-31;6 - 15;2508;1208;1155;543;1140;563;213;102;673;311
0401124;Huchting (Stadtteil);2022-12-31;15 - 18;749;350;289;120;391;197;69;33;295;140
0401124;Huchting (Stadtteil);2022-12-31;18 - 25;1336;603;793;336;473;233;70;34;1088;521
0401124;Huchting (Stadtteil);2022-12-31;25 - 30;1085;510;702;338;318;146;65;26;595;289
0401124;Huchting (Stadtteil);2022-12-31;30 - 50;4741;2440;2882;1479;1336;682;523;279;2595;1331
0401124;Huchting (Stadtteil);2022-12-31;50 - 65;2460;1250;1194;612;869;422;397;216;3755;1947
0401124;Huchting (Stadtteil);2022-12-31;65 oder mehr;1388;765;550;301;496;260;342;204;5161;2991
0401124;Huchting (Stadtteil);2022-12-31;Insgesamt;16212;8069;8481;4184;5933;2935;1798;950;14648;7753
04011241;Mittelshuchting (Ortsteil);2022-12-31;unter 6;862;416;435;207;370;184;57;25;154;74
04011241;Mittelshuchting (Ortsteil);2022-12-31;6 - 15;1052;503;536;252;425;215;91;36;228;103
04011241;Mittelshuchting (Ortsteil);2022-12-31;15 - 18;306;133;114;43;156;72;36;18;111;53
04011241;Mittelshuchting (Ortsteil);2022-12-31;18 - 25;520;236;321;128;171;94;28;14;379;191
04011241;Mittelshuchting (Ortsteil);2022-12-31;25 - 30;400;211;258;143;114;57;28;11;208;91
04011241;Mittelshuchting (Ortsteil);2022-12-31;30 - 50;1894;978;1177;601;484;247;233;130;937;475
04011241;Mittelshuchting (Ortsteil);2022-12-31;50 - 65;898;449;416;198;319;161;163;90;1260;655
04011241;Mittelshuchting (Ortsteil);2022-12-31;65 oder mehr;528;289;192;104;201;105;135;80;1785;1023
04011241;Mittelshuchting (Ortsteil);2022-12-31;Insgesamt;6460;3215;3449;1676;2240;1135;771;404;5062;2665
04011242;Sodenmatt (Ortsteil);2022-12-31;unter 6;436;222;194;105;216;106;26;11;88;35
04011242;Sodenmatt (Ortsteil);2022-12-31;6 - 15;591;281;281;126;241;121;69;34;135;67
04011242;Sodenmatt (Ortsteil);2022-12-31;15 - 18;191;99;73;38;100;54;18;7;50;23
04011242;Sodenmatt (Ortsteil);2022-12-31;18 - 25;338;143;189;83;122;50;27;10;233;107
04011242;Sodenmatt (Ortsteil);2022-12-31;25 - 30;261;116;177;78;66;29;18;9;128;69
04011242;Sodenmatt (Ortsteil);2022-12-31;30 - 50;1276;659;759;401;348;173;169;85;486;249
04011242;Sodenmatt (Ortsteil);2022-12-31;50 - 65;692;353;347;177;225;115;120;61;758;384
04011242;Sodenmatt (Ortsteil);2022-12-31;65 oder mehr;402;216;157;81;134;69;111;66;1150;704
04011242;Sodenmatt (Ortsteil);2022-12-31;Insgesamt;4187;2089;2177;1089;1452;717;558;283;3028;1638
04011243;Kirchhuchting (Ortsteil);2022-12-31;unter 6;607;287;279;138;296;132;32;17;133;59
04011243;Kirchhuchting (Ortsteil);2022-12-31;6 - 15;780;375;332;162;402;187;46;26;143;62
04011243;Kirchhuchting (Ortsteil);2022-12-31;15 - 18;238;110;99;38;125;65;14;7;69;34
04011243;Kirchhuchting (Ortsteil);2022-12-31;18 - 25;447;211;264;119;171;84;12;8;331;156
04011243;Kirchhuchting (Ortsteil);2022-12-31;25 - 30;403;173;253;110;132;58;18;5;186;90
04011243;Kirchhuchting (Ortsteil);2022-12-31;30 - 50;1418;729;877;448;433;222;108;59;695;358
04011243;Kirchhuchting (Ortsteil);2022-12-31;50 - 65;778;396;398;216;275;120;105;60;986;510
04011243;Kirchhuchting (Ortsteil);2022-12-31;65 oder mehr;399;231;178;105;134;72;87;54;1355;788
04011243;Kirchhuchting (Ortsteil);2022-12-31;Insgesamt;5070;2512;2680;1336;1968;940;422;236;3898;2057
04011244;Grolland (Ortsteil);2022-12-31;unter 6;40;18;8;5;28;10;4;3;111;55
04011244;Grolland (Ortsteil);2022-12-31;6 - 15;85;49;6;3;72;40;7;6;167;79
04011244;Grolland (Ortsteil);2022-12-31;15 - 18;14;8;3;1;10;6;1;1;65;30
04011244;Grolland (Ortsteil);2022-12-31;18 - 25;31;13;19;6;9;5;3;2;145;67
04011244;Grolland (Ortsteil);2022-12-31;25 - 30;21;10;14;7;6;2;1;1;73;39
04011244;Grolland (Ortsteil);2022-12-31;30 - 50;153;74;69;29;71;40;13;5;477;249
04011244;Grolland (Ortsteil);2022-12-31;50 - 65;92;52;33;21;50;26;9;5;751;398
04011244;Grolland (Ortsteil);2022-12-31;65 oder mehr;59;29;23;11;27;14;9;4;871;476
04011244;Grolland (Ortsteil);2022-12-31;Insgesamt;495;253;175;83;273;143;47;27;2660;1393
0401125;Woltmershausen (Stadtteil);2022-12-31;unter 6;450;219;173;80;242;121;35;18;298;154
0401125;Woltmershausen (Stadtteil);2022-12-31;6 - 15;602;304;254;125;307;152;41;27;450;219
0401125;Woltmershausen (Stadtteil);2022-12-31;15 - 18;210;118;85;47;110;65;15;6;149;76
0401125;Woltmershausen (Stadtteil);2022-12-31;18 - 25;447;198;317;129;114;63;16;6;627;309
0401125;Woltmershausen (Stadtteil);2022-12-31;25 - 30;491;196;374;145;94;39;23;12;504;246
0401125;Woltmershausen (Stadtteil);2022-12-31;30 - 50;1623;725;1053;469;431;190;139;66;2131;1030
0401125;Woltmershausen (Stadtteil);2022-12-31;50 - 65;752;347;414;201;239;98;99;48;2254;1105
0401125;Woltmershausen (Stadtteil);2022-12-31;65 oder mehr;443;244;212;116;124;67;107;61;2303;1318
0401125;Woltmershausen (Stadtteil);2022-12-31;Insgesamt;5018;2351;2882;1312;1661;795;475;244;8716;4457
04011251;Woltmershausen (Ortsteil);2022-12-31;unter 6;371;182;158;74;185;93;28;15;215;114
04011251;Woltmershausen (Ortsteil);2022-12-31;6 - 15;503;257;224;113;247;122;32;22;337;158
04011251;Woltmershausen (Ortsteil);2022-12-31;15 - 18;178;102;72;39;93;57;13;6;107;49
04011251;Woltmershausen (Ortsteil);2022-12-31;18 - 25;388;174;282;118;92;50;14;6;491;246
04011251;Woltmershausen (Ortsteil);2022-12-31;25 - 30;438;175;340;131;77;32;21;12;403;193
04011251;Woltmershausen (Ortsteil);2022-12-31;30 - 50;1347;607;908;411;332;146;107;50;1661;805
04011251;Woltmershausen (Ortsteil);2022-12-31;50 - 65;637;294;354;173;199;80;84;41;1628;782
04011251;Woltmershausen (Ortsteil);2022-12-31;65 oder mehr;386;215;188;105;98;52;100;58;1561;884
04011251;Woltmershausen (Ortsteil);2022-12-31;Insgesamt;4248;2006;2526;1164;1323;632;399;210;6403;3231
04011252;Rablinghausen (Ortsteil);2022-12-31;unter 6;79;37;15;6;57;28;7;3;83;40
04011252;Rablinghausen (Ortsteil);2022-12-31;6 - 15;99;47;30;12;60;30;9;5;113;61
04011252;Rablinghausen (Ortsteil);2022-12-31;15 - 18;32;16;13;8;17;8;2;0;42;27
04011252;Rablinghausen (Ortsteil);2022-12-31;18 - 25;59;24;35;11;22;13;2;0;136;63
04011252;Rablinghausen (Ortsteil);2022-12-31;25 - 30;53;21;34;14;17;7;2;0;101;53
04011252;Rablinghausen (Ortsteil);2022-12-31;30 - 50;276;118;145;58;99;44;32;16;470;225
04011252;Rablinghausen (Ortsteil);2022-12-31;50 - 65;115;53;60;28;40;18;15;7;626;323
04011252;Rablinghausen (Ortsteil);2022-12-31;65 oder mehr;57;29;24;11;26;15;7;3;742;434
04011252;Rablinghausen (Ortsteil);2022-12-31;Insgesamt;770;345;356;148;338;163;76;34;2313;1226
04011261;Seehausen (Ortsteil);2022-12-31;unter 6;23;11;1;0;11;5;11;6;48;29
04011261;Seehausen (Ortsteil);2022-12-31;6 - 15;40;18;5;2;28;12;7;4;55;29
04011261;Seehausen (Ortsteil);2022-12-31;15 - 18;6;3;0;0;5;3;1;0;13;4
04011261;Seehausen (Ortsteil);2022-12-31;18 - 25;11;6;3;3;6;1;2;2;38;19
04011261;Seehausen (Ortsteil);2022-12-31;25 - 30;9;4;6;3;2;1;1;0;40;20
04011261;Seehausen (Ortsteil);2022-12-31;30 - 50;64;39;21;14;24;14;19;11;174;83
04011261;Seehausen (Ortsteil);2022-12-31;50 - 65;41;18;13;7;20;8;8;3;272;141
04011261;Seehausen (Ortsteil);2022-12-31;65 oder mehr;18;10;7;3;4;2;7;5;164;82
04011261;Seehausen (Ortsteil);2022-12-31;Insgesamt;212;109;56;32;100;46;56;31;804;407
04011271;Strom (Ortsteil);2022-12-31;unter 6;4;2;0;0;4;2;0;0;16;6
04011271;Strom (Ortsteil);2022-12-31;6 - 15;4;2;1;0;3;2;0;0;32;15
04011271;Strom (Ortsteil);2022-12-31;15 - 18;7;2;5;2;1;0;1;0;7;4
04011271;Strom (Ortsteil);2022-12-31;18 - 25;3;1;0;0;3;1;0;0;23;8
04011271;Strom (Ortsteil);2022-12-31;25 - 30;2;1;1;0;1;1;0;0;20;11
04011271;Strom (Ortsteil);2022-12-31;30 - 50;12;7;5;4;4;2;3;1;79;35
04011271;Strom (Ortsteil);2022-12-31;50 - 65;7;5;1;1;5;3;1;1;101;49
04011271;Strom (Ortsteil);2022-12-31;65 oder mehr;6;2;3;2;1;0;2;0;92;50
04011271;Strom (Ortsteil);2022-12-31;Insgesamt;45;22;16;9;22;11;7;2;370;178
040113;Ost (Stadtbezirk);2022-12-31;unter 6;7795;3762;2651;1278;4444;2153;700;331;4774;2328
040113;Ost (Stadtbezirk);2022-12-31;6 - 15;10546;5059;3731;1799;5641;2674;1174;586;7684;3780
040113;Ost (Stadtbezirk);2022-12-31;15 - 18;3303;1535;1062;458;1869;902;372;175;2885;1369
040113;Ost (Stadtbezirk);2022-12-31;18 - 25;6569;2938;3769;1647;2402;1101;398;190;10733;5379
040113;Ost (Stadtbezirk);2022-12-31;25 - 30;6874;3220;4612;2114;1867;893;395;213;8827;4359
040113;Ost (Stadtbezirk);2022-12-31;30 - 50;26354;13252;14624;7343;8403;4197;3327;1712;32372;16315
040113;Ost (Stadtbezirk);2022-12-31;50 - 65;13206;6799;5898;2969;5066;2636;2242;1194;34610;17646
040113;Ost (Stadtbezirk);2022-12-31;65 oder mehr;8716;4968;3239;1889;3424;1860;2053;1219;41877;24058
040113;Ost (Stadtbezirk);2022-12-31;Insgesamt;83363;41533;39586;19497;33116;16416;10661;5620;143762;75234
0401131;Östliche Vorstadt (Stadtteil);2022-12-31;unter 6;516;256;112;58;373;182;31;16;685;334
0401131;Östliche Vorstadt (Stadtteil);2022-12-31;6 - 15;606;291;159;81;410;193;37;17;1056;499
0401131;Östliche Vorstadt (Stadtteil);2022-12-31;15 - 18;185;84;48;26;118;50;19;8;403;210
0401131;Östliche Vorstadt (Stadtteil);2022-12-31;18 - 25;578;249;382;148;184;93;12;8;1619;836
0401131;Östliche Vorstadt (Stadtteil);2022-12-31;25 - 30;746;355;521;236;195;104;30;15;1869;971
0401131;Östliche Vorstadt (Stadtteil);2022-12-31;30 - 50;2513;1172;1515;653;830;425;168;94;6162;3186
0401131;Östliche Vorstadt (Stadtteil);2022-12-31;50 - 65;1053;502;550;246;438;216;65;40;5273;2761
0401131;Östliche Vorstadt (Stadtteil);2022-12-31;65 oder mehr;673;375;362;189;259;152;52;34;5070;2872
0401131;Östliche Vorstadt (Stadtteil);2022-12-31;Insgesamt;6870;3284;3649;1637;2807;1415;414;232;22137;11669
04011311;Steintor (Ortsteil);2022-12-31;unter 6;115;55;23;13;89;40;3;2;148;70
04011311;Steintor (Ortsteil);2022-12-31;6 - 15;162;77;43;22;110;52;9;3;246;125
04011311;Steintor (Ortsteil);2022-12-31;15 - 18;55;29;15;8;36;18;4;3;98;56
04011311;Steintor (Ortsteil);2022-12-31;18 - 25;176;76;119;46;54;27;3;3;415;210
04011311;Steintor (Ortsteil);2022-12-31;25 - 30;202;104;145;71;49;27;8;6;570;307
04011311;Steintor (Ortsteil);2022-12-31;30 - 50;651;318;379;177;230;116;42;25;1679;840
04011311;Steintor (Ortsteil);2022-12-31;50 - 65;273;125;152;72;110;47;11;6;1179;585
04011311;Steintor (Ortsteil);2022-12-31;65 oder mehr;168;90;102;51;53;31;13;8;1075;603
04011311;Steintor (Ortsteil);2022-12-31;Insgesamt;1802;874;978;460;731;358;93;56;5410;2796
04011312;Fesenfeld (Ortsteil);2022-12-31;unter 6;116;51;33;17;79;33;4;1;164;83
04011312;Fesenfeld (Ortsteil);2022-12-31;6 - 15;118;55;30;17;85;37;3;1;203;94
04011312;Fesenfeld (Ortsteil);2022-12-31;15 - 18;44;18;14;8;27;10;3;0;71;42
04011312;Fesenfeld (Ortsteil);2022-12-31;18 - 25;148;65;96;38;47;25;5;2;446;249
04011312;Fesenfeld (Ortsteil);2022-12-31;25 - 30;190;93;131;66;54;26;5;1;498;261
04011312;Fesenfeld (Ortsteil);2022-12-31;30 - 50;618;277;394;161;188;100;36;16;1688;873
04011312;Fesenfeld (Ortsteil);2022-12-31;50 - 65;214;100;104;41;98;51;12;8;1116;569
04011312;Fesenfeld (Ortsteil);2022-12-31;65 oder mehr;157;87;80;44;69;38;8;5;1045;573
04011312;Fesenfeld (Ortsteil);2022-12-31;Insgesamt;1605;746;882;392;647;320;76;34;5231;2744
04011313;Peterswerder (Ortsteil);2022-12-31;unter 6;143;74;24;13;102;52;17;9;260;128
04011313;Peterswerder (Ortsteil);2022-12-31;6 - 15;186;86;35;17;133;61;18;8;444;208
04011313;Peterswerder (Ortsteil);2022-12-31;15 - 18;60;23;9;4;45;17;6;2;179;84
04011313;Peterswerder (Ortsteil);2022-12-31;18 - 25;150;77;92;47;56;29;2;1;512;259
04011313;Peterswerder (Ortsteil);2022-12-31;25 - 30;186;83;116;48;60;31;10;4;511;262
04011313;Peterswerder (Ortsteil);2022-12-31;30 - 50;680;325;381;166;249;128;50;31;1937;1031
04011313;Peterswerder (Ortsteil);2022-12-31;50 - 65;332;165;161;72;145;78;26;15;2062;1117
04011313;Peterswerder (Ortsteil);2022-12-31;65 oder mehr;237;132;122;64;89;50;26;18;2076;1203
04011313;Peterswerder (Ortsteil);2022-12-31;Insgesamt;1974;965;940;431;879;446;155;88;7981;4292
04011314;Hulsberg (Ortsteil);2022-12-31;unter 6;142;76;32;15;103;57;7;4;113;53
04011314;Hulsberg (Ortsteil);2022-12-31;6 - 15;140;73;51;25;82;43;7;5;163;72
04011314;Hulsberg (Ortsteil);2022-12-31;15 - 18;26;14;10;6;10;5;6;3;55;28
04011314;Hulsberg (Ortsteil);2022-12-31;18 - 25;104;31;75;17;27;12;2;2;246;118
04011314;Hulsberg (Ortsteil);2022-12-31;25 - 30;168;75;129;51;32;20;7;4;290;141
04011314;Hulsberg (Ortsteil);2022-12-31;30 - 50;564;252;361;149;163;81;40;22;858;442
04011314;Hulsberg (Ortsteil);2022-12-31;50 - 65;234;112;133;61;85;40;16;11;916;490
04011314;Hulsberg (Ortsteil);2022-12-31;65 oder mehr;111;66;58;30;48;33;5;3;874;493
04011314;Hulsberg (Ortsteil);2022-12-31;Insgesamt;1489;699;849;354;550;291;90;54;3515;1837
0401132;Schwachhausen (Stadtteil);2022-12-31;unter 6;819;382;224;99;524;249;71;34;1122;572
0401132;Schwachhausen (Stadtteil);2022-12-31;6 - 15;1001;480;352;164;577;282;72;34;1628;837
0401132;Schwachhausen (Stadtteil);2022-12-31;15 - 18;250;119;96;47;138;64;16;8;588;255
0401132;Schwachhausen (Stadtteil);2022-12-31;18 - 25;639;306;379;174;237;121;23;11;1922;979
0401132;Schwachhausen (Stadtteil);2022-12-31;25 - 30;785;426;509;283;233;118;43;25;2188;1102
0401132;Schwachhausen (Stadtteil);2022-12-31;30 - 50;3104;1707;1743;985;1083;571;278;151;7580;3854
0401132;Schwachhausen (Stadtteil);2022-12-31;50 - 65;1186;659;551;295;560;318;75;46;6951;3661
0401132;Schwachhausen (Stadtteil);2022-12-31;65 oder mehr;810;484;321;200;408;231;81;53;8794;5131
0401132;Schwachhausen (Stadtteil);2022-12-31;Insgesamt;8594;4563;4175;2247;3760;1954;659;362;30773;16391
04011321;Neu-Schwachhausen (Ortsteil);2022-12-31;unter 6;138;65;37;17;91;44;10;4;143;72
04011321;Neu-Schwachhausen (Ortsteil);2022-12-31;6 - 15;165;85;62;35;91;46;12;4;233;109
04011321;Neu-Schwachhausen (Ortsteil);2022-12-31;15 - 18;35;18;15;9;15;6;5;3;82;36
04011321;Neu-Schwachhausen (Ortsteil);2022-12-31;18 - 25;110;51;67;30;40;19;3;2;347;182
04011321;Neu-Schwachhausen (Ortsteil);2022-12-31;25 - 30;109;60;66;38;35;19;8;3;437;216
04011321;Neu-Schwachhausen (Ortsteil);2022-12-31;30 - 50;518;286;259;152;207;108;52;26;1178;579
04011321;Neu-Schwachhausen (Ortsteil);2022-12-31;50 - 65;148;75;66;35;69;33;13;7;1024;540
04011321;Neu-Schwachhausen (Ortsteil);2022-12-31;65 oder mehr;112;67;50;31;50;28;12;8;1325;819
04011321;Neu-Schwachhausen (Ortsteil);2022-12-31;Insgesamt;1335;707;622;347;598;303;115;57;4769;2553
04011322;Bürgerpark (Ortsteil);2022-12-31;unter 6;95;49;22;9;68;39;5;1;115;54
04011322;Bürgerpark (Ortsteil);2022-12-31;6 - 15;77;33;22;7;47;23;8;3;161;83
04011322;Bürgerpark (Ortsteil);2022-12-31;15 - 18;27;14;12;7;15;7;0;0;57;27
04011322;Bürgerpark (Ortsteil);2022-12-31;18 - 25;70;35;42;19;25;15;3;1;211;98
04011322;Bürgerpark (Ortsteil);2022-12-31;25 - 30;95;50;65;33;25;13;5;4;223;118
04011322;Bürgerpark (Ortsteil);2022-12-31;30 - 50;311;164;180;105;101;46;30;13;862;458
04011322;Bürgerpark (Ortsteil);2022-12-31;50 - 65;133;73;71;37;55;33;7;3;847;447
